Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items,,,
10002003,HUSTHUHB,Magyar Államkincstár. értékp.-pénztár,"1139 Budapest, Váci út 71.",,R,,,
10003004,HUSTHUHB,Magyar Államkincstár Központ,"1054 Budapest, Hold utca 7.",S,R,,,
10023002,HUSTHUHB,Magyar Államkincstár. Budapest,"1139 Budapest, Váci út 71.",,R,,,
10024003,HUSTHUHB,Magyar Államkincstár. Pécs,"7621 Pécs, Apáca utca 6.",,R,,,
10025004,HUSTHUHB,Magyar Államkincstár. Kecskemét,"6000 Kecskemét, Szabadság tér 1.",,R,,,
10026005,HUSTHUHB,Magyar Államkincstár. Békéscsaba,"5600 Békéscsaba, Dózsa György út 1.",,R,,,
10027006,HUSTHUHB,Magyar Államkincstár. Miskolc,"3525 Miskolc, Hősök tere 3.",,R,,,
10028007,HUSTHUHB,Magyar Államkincstár Szeged,"6720 Szeged, Vár utca 5.",,R,,,
10029008,HUSTHUHB,Magyar Államkincstár Székesfehérvár,"8000 Székesfehérvár, Ősz utca 11.",,R,,,
10032000,HUSTHUHB,Magyar Államkincstár Budapest,"1139 Budapest, Váci út 71.",,R,,,
10033001,HUSTHUHB,Magyar Államkincstár. Győr,"9022 Győr, Czuczor Gergely utca 26.",,R,,,
10034002,HUSTHUHB,Magyar Államkincstár. Debrecen,"4025 Debrecen, Hatvan utca 15.",,R,,,
10035003,HUSTHUHB,Magyar Államkincstár Eger,"3300 Eger, Eszterházy tér 5.",,R,,,
10036004,HUSTHUHB,Magyar Államkincstár. Tatabánya,"2800 Tatabánya, Fő tér 32.",,R,,,
10037005,HUSTHUHB,Magyar Államkincstár. Salgótarján,"3100 Salgótarján, Rákóczi út 15.",,R,,,
10039007,HUSTHUHB,Magyar Államkincstár Kaposvár,"7400 Kaposvár, Széchenyi tér 3-4.",,R,,,
10044001,HUSTHUHB,Magyar Államkincstár. Nyíregyháza,"4400 Nyíregyháza, Széchenyi utca 3.",,R,,,
10045002,HUSTHUHB,Magyar Államkincstár. Szolnok,"5000 Szolnok, Magyar utca 8.",,R,,,
10046003,HUSTHUHB,Magyar Államkincstár. Szekszárd,"7100 Szekszárd, Augusz Imre utca 7.",,R,,,
10047004,HUSTHUHB,Magyar Államkincstár. Szombathely,"9700 Szombathely, Széll Kálmán utca 20.",,R,,,
10048005,HUSTHUHB,Magyar Államkincstár. Veszprém,"8200 Veszprém, Mindszenty József utca 2.",,R,,,
10049006,HUSTHUHB,Magyar Államkincstár. Zalaegerszeg,"8900 Zalaegerszeg, Dísz tér 7.",,R,,,
10100716,BUDAHUHB,Budapest Bank Zrt. EMKE Fiók,"1072 Budapest, Rákóczi út 42.",S,R,,,
10100730,BUDAHUHB,Budapest Bank Zrt. Közp.Lak.Hitelfiók,"1138 Budapest, Váci út 193.",,,,,
10100747,BUDAHUHB,Budapest Bank Zrt. Különleges Műveletek,"1138 Budapest, Váci út 193.",,R,,,
10100778,BUDAHUHB,Budapest Bank Zrt. Mosonmagyaróvári fió,"9200 Mosonmagyaróvár, Fő utca 22.",S,R,,,
10100792,BUDAHUHB,Budapest Bank Zrt. Királyhágó Fiók,"1126 Budapest, Királyhágó utca 18.",S,R,,,
10100819,BUDAHUHB,Budapest Bank Zrt. Közp.Számlakezelő Fi,"1138 Budapest, Váci út 193.",,R,,,
10100826,BUDAHUHB,Budapest Bank Zrt. Csepeli fiók,"1211 Budapest, Kossuth Lajos utca 47-49.",S,R,,,
10100833,BUDAHUHB,Budapest Bank Zrt. Gazdagréti fiók,"1118 Budapest, Rétköz utca ELEVEN CENTER",S,R,,,
10100840,BUDAHUHB,Budapest Bank Zrt. Bosnyák téri fiók,"1149 Budapest, Nagy Lajos király útja 146.",S,R,,,
10100864,BUDAHUHB,Budapest Bank Zrt. Közp. Adatfeld.Szerv,"1138 Budapest, Váci út 193.",,,,,
